회사명,financeCd,항목,FY23,FY24,FY25,25.6월,26최신월,Gap(%p),비고
KB캐피탈,0010250,"고정이하여신비율(공시,%)",2.76,2.51,2.48,2.85,2.59,△0.26,여신건전성표
KB캐피탈,0010250,"연체채권비율(공시,%)",2.42,1.99,1.8,2.32,2.25,△0.07,연체채권비율표
KB캐피탈,0010250,"대손충당금적립률_요적립액대비(공시,%)",137.8,143.46,147.14,138.72,139.6,0.88,3종 중 택1 필요
KB캐피탈,0010250,"대손충당금적립률_총여신대비(공시,%)",3.21,3.34,3.24,3.45,3.31,△0.14,3종 중 택1 필요
KB캐피탈,0010250,"대손충당금적립률_고정이하여신대비(공시,%)",116.13,132.75,130.74,120.86,127.93,7.07,"커버리지비율, 3종 중 택1 필요"
현대캐피탈,0010271,"고정이하여신비율(공시,%)",2.2,2.18,2.04,2.13,2.02,△0.11,여신건전성표
현대캐피탈,0010271,"연체채권비율(공시,%)",0.95,0.97,0.87,0.94,0.83,△0.11,연체채권비율표
현대캐피탈,0010271,"대손충당금적립률_요적립액대비(공시,%)",129.71,131.07,130.08,130.63,129.86,△0.77,3종 중 택1 필요
현대캐피탈,0010271,"대손충당금적립률_총여신대비(공시,%)",2.64,2.59,2.46,2.56,2.42,△0.14,3종 중 택1 필요
현대캐피탈,0010271,"대손충당금적립률_고정이하여신대비(공시,%)",120.16,118.64,120.45,120.06,119.68,△0.38,"커버리지비율, 3종 중 택1 필요"
하나캐피탈,0010268,"고정이하여신비율(공시,%)",1.02,1.45,1.62,1.76,1.56,△0.20,여신건전성표
하나캐피탈,0010268,"연체채권비율(공시,%)",1.04,1.7,1.62,1.86,2.37,0.51,연체채권비율표
하나캐피탈,0010268,"대손충당금적립률_요적립액대비(공시,%)",119.06,129.94,139.54,131.88,136.57,4.69,3종 중 택1 필요
하나캐피탈,0010268,"대손충당금적립률_총여신대비(공시,%)",1.46,1.8,2.03,1.95,1.96,0.01,3종 중 택1 필요
하나캐피탈,0010268,"대손충당금적립률_고정이하여신대비(공시,%)",143.44,123.97,125.79,111.07,125.91,14.84,"커버리지비율, 3종 중 택1 필요"
우리금융캐피탈,0010255,"고정이하여신비율(공시,%)",2.37,1.91,1.93,2.39,2.06,△0.33,여신건전성표
우리금융캐피탈,0010255,"연체채권비율(공시,%)",1.64,1.81,1.91,2.14,1.74,△0.40,연체채권비율표
우리금융캐피탈,0010255,"대손충당금적립률_요적립액대비(공시,%)",153.75,127.83,122.57,117.92,129.51,11.59,3종 중 택1 필요
우리금융캐피탈,0010255,"대손충당금적립률_총여신대비(공시,%)",2.96,2.56,2.36,2.53,2.41,△0.12,3종 중 택1 필요
우리금융캐피탈,0010255,"대손충당금적립률_고정이하여신대비(공시,%)",124.76,134.18,122.06,106.06,117.11,11.05,"커버리지비율, 3종 중 택1 필요"
신한캐피탈,0010238,"고정이하여신비율(공시,%)",1.74,3.98,2.3,2.8,3.31,0.51,여신건전성표
신한캐피탈,0010238,"연체채권비율(공시,%)",1.28,2.74,1.55,2.44,2.37,△0.07,연체채권비율표
신한캐피탈,0010238,"대손충당금적립률_요적립액대비(공시,%)",164.59,151.76,168.53,153.7,168.44,14.74,3종 중 택1 필요
신한캐피탈,0010238,"대손충당금적립률_총여신대비(공시,%)",3.85,4.47,4.14,3.71,4.69,0.98,3종 중 택1 필요
신한캐피탈,0010238,"대손충당금적립률_고정이하여신대비(공시,%)",221.16,112.35,179.86,132.88,141.69,8.81,"커버리지비율, 3종 중 택1 필요"
메리츠캐피탈,0013202,"고정이하여신비율(공시,%)",4.41,3.26,8.06,9.77,7.71,△2.06,여신건전성표
메리츠캐피탈,0013202,"연체채권비율(공시,%)",7.92,3.75,8.09,9.72,7.14,△2.58,연체채권비율표
메리츠캐피탈,0013202,"대손충당금적립률_요적립액대비(공시,%)",115.44,111.67,110.2,110.46,110,△0.46,3종 중 택1 필요
메리츠캐피탈,0013202,"대손충당금적립률_총여신대비(공시,%)",3.79,2.94,3.85,4.36,3.78,△0.58,3종 중 택1 필요
메리츠캐피탈,0013202,"대손충당금적립률_고정이하여신대비(공시,%)",85.84,90.4,47.84,44.61,49.04,4.43,"커버리지비율, 3종 중 택1 필요"
