회사명,financeCd,항목,FY23,FY24,FY25,25.6월,26최신월,Gap금액,Gap%,비고
KB캐피탈,0010250,건전성분류 총채권(십억원),"15,162.6","15,992.5","15,931.2","15,977.6","16,336.6",359.0,2.2,저량/기말
KB캐피탈,0010250,고정이하여신(십억원),419.0,402.1,394.5,455.8,422.3,△33.5,△7.3,저량/기말
KB캐피탈,0010250,대손충당금 실적립액(십억원),486.6,533.7,515.7,550.9,540.3,△10.6,△1.9,저량/기말
현대캐피탈,0010271,건전성분류 총채권(십억원),"34,890.4","35,003.8","36,228.5","35,185.0","36,204.4","1,019.4",2.9,저량/기말
현대캐피탈,0010271,고정이하여신(십억원),766.5,763.8,739.1,749.6,730.7,△19.0,△2.5,저량/기말
현대캐피탈,0010271,대손충당금 실적립액(십억원),921.1,906.1,890.2,900.0,874.5,△25.5,△2.8,저량/기말
하나캐피탈,0010268,건전성분류 총채권(십억원),"15,832.1","16,825.7","16,064.0","16,666.5","15,902.2",△764.3,△4.6,저량/기말
하나캐피탈,0010268,고정이하여신(십억원),161.3,243.9,259.5,292.6,248.0,△44.6,△15.3,저량/기말
하나캐피탈,0010268,대손충당금 실적립액(십억원),231.4,302.3,326.4,325.0,312.2,△12.8,△3.9,저량/기말
우리금융캐피탈,0010255,건전성분류 총채권(십억원),"11,463.8","11,571.6","11,534.8","11,508.5","11,663.5",155.0,1.3,저량/기말
우리금융캐피탈,0010255,고정이하여신(십억원),272.1,220.8,222.6,274.6,240.2,△34.4,△12.5,저량/기말
우리금융캐피탈,0010255,대손충당금 실적립액(십억원),339.5,296.3,271.7,291.2,281.3,△10.0,△3.4,저량/기말
신한캐피탈,0010238,건전성분류 총채권(십억원),"7,496.3","6,743.3","7,281.2","6,967.0","7,288.9",321.9,4.6,저량/기말
신한캐피탈,0010238,고정이하여신(십억원),130.3,268.6,167.8,194.8,241.5,46.7,24.0,저량/기말
신한캐피탈,0010238,대손충당금 실적립액(십억원),288.2,301.7,301.8,258.8,342.2,83.4,32.2,저량/기말
메리츠캐피탈,0013202,건전성분류 총채권(십억원),"6,413.4","6,913.3","8,576.6","7,288.0","8,979.9","1,691.9",23.2,저량/기말
메리츠캐피탈,0013202,고정이하여신(십억원),282.9,225.1,690.9,712.1,692.2,△19.9,△2.8,저량/기말
메리츠캐피탈,0013202,대손충당금 실적립액(십억원),242.9,203.5,330.5,317.7,339.5,21.8,6.9,저량/기말
