회사명,financeCd,항목,FY23,FY24,FY25,25.6월,26최신월,Gap금액,Gap%,비고
KB캐피탈,0010250,총자산 평잔(십억원),"15,824.2","17,075.5","17,644.9","17,485.6","17,808.2",322.6,1.8,저량/평잔
KB캐피탈,0010250,자본 평잔(십억원),"2,191.1","3,450.8","2,574.3","3,100.2","2,615.0",△485.2,△15.6,저량/평잔
KB캐피탈,0010250,당기순이익(십억원),141.4,207.0,299.6,202.5,261.8,59.3,29.3,"FISIS 공시(연환산 기준) — 분기 단독 아님, 각주 필수"
현대캐피탈,0010271,총자산 평잔(십억원),"38,854.3","38,360.5","39,027.0","38,336.6","38,873.8",537.2,1.4,저량/평잔
현대캐피탈,0010271,자본 평잔(십억원),"5,364.1","5,776.3","6,146.5","5,933.9","5,889.4",△44.5,△0.7,저량/평잔
현대캐피탈,0010271,당기순이익(십억원),408.5,414.5,432.6,393.3,415.6,22.3,5.7,"FISIS 공시(연환산 기준) — 분기 단독 아님, 각주 필수"
하나캐피탈,0010268,총자산 평잔(십억원),"17,407.7","18,912.0","18,768.6","28,251.9","18,449.1","△9,802.9",△34.7,저량/평잔
하나캐피탈,0010268,자본 평잔(십억원),"2,125.2","2,230.5","2,255.1","2,213.2","2,271.4",58.2,2.6,저량/평잔
하나캐피탈,0010268,당기순이익(십억원),163.4,95.2,23.5,△14.1,105.9,120.0,N/A(기준≤0),"FISIS 공시(연환산 기준) — 분기 단독 아님, 각주 필수"
우리금융캐피탈,0010255,총자산 평잔(십억원),"12,217.0","12,691.2","12,441.3","12,655.5","12,447.2",△208.3,△1.6,저량/평잔
우리금융캐피탈,0010255,자본 평잔(십억원),"1,582.2","1,674.8","1,775.2","1,724.3","1,803.9",79.6,4.6,저량/평잔
우리금융캐피탈,0010255,당기순이익(십억원),101.1,123.3,156.9,134.5,163.2,28.6,21.3,"FISIS 공시(연환산 기준) — 분기 단독 아님, 각주 필수"
신한캐피탈,0010238,총자산 평잔(십억원),"12,793.0","12,504.1","12,159.0","12,203.8","12,140.0",△63.8,△0.5,저량/평잔
신한캐피탈,0010238,자본 평잔(십억원),"2,032.2","2,175.5","2,196.4","2,186.6","2,204.7",18.1,0.8,저량/평잔
신한캐피탈,0010238,당기순이익(십억원),260.9,60.3,104.7,185.7,127.8,△57.9,△31.2,"FISIS 공시(연환산 기준) — 분기 단독 아님, 각주 필수"
메리츠캐피탈,0013202,총자산 평잔(십억원),"8,812.3","8,492.0","9,454.3","8,685.2","9,956.8","1,271.6",14.6,저량/평잔
메리츠캐피탈,0013202,자본 평잔(십억원),"1,334.0","1,543.3","1,711.9","1,666.0","1,726.4",60.4,3.6,저량/평잔
메리츠캐피탈,0013202,당기순이익(십억원),147.7,132.2,27.8,19.5,114.9,95.4,488.2,"FISIS 공시(연환산 기준) — 분기 단독 아님, 각주 필수"
