회사명,financeCd,항목,FY23,FY24,FY25,25.6월,26최신월,Gap(%p),비고
KB캐피탈,0010250,"ROA(공시,%)",0.89,1.21,1.7,1.16,1.47,0.31,"총자산순이익률, FISIS 공시비율(연환산)"
KB캐피탈,0010250,"ROE(공시,%)",6.46,6,11.64,6.53,10.01,3.48,"자기자본순이익률, FISIS 공시비율(연환산)"
현대캐피탈,0010271,"ROA(공시,%)",1.05,1.08,1.11,1.03,1.07,0.04,"총자산순이익률, FISIS 공시비율(연환산)"
현대캐피탈,0010271,"ROE(공시,%)",7.61,7.18,7.04,6.63,7.06,0.43,"자기자본순이익률, FISIS 공시비율(연환산)"
하나캐피탈,0010268,"ROA(공시,%)",0.94,0.5,0.13,△0.05,0.57,0.62,"총자산순이익률, FISIS 공시비율(연환산)"
하나캐피탈,0010268,"ROE(공시,%)",7.69,4.27,1.04,△0.64,4.66,5.30,"자기자본순이익률, FISIS 공시비율(연환산)"
우리금융캐피탈,0010255,"ROA(공시,%)",0.83,0.97,1.26,1.06,1.31,0.25,"총자산순이익률, FISIS 공시비율(연환산)"
우리금융캐피탈,0010255,"ROE(공시,%)",6.39,7.36,8.84,7.8,9.04,1.24,"자기자본순이익률, FISIS 공시비율(연환산)"
신한캐피탈,0010238,"ROA(공시,%)",2.04,0.48,0.86,1.52,1.05,△0.47,"총자산순이익률, FISIS 공시비율(연환산)"
신한캐피탈,0010238,"ROE(공시,%)",12.84,2.77,4.77,8.49,5.8,△2.69,"자기자본순이익률, FISIS 공시비율(연환산)"
메리츠캐피탈,0013202,"ROA(공시,%)",1.68,1.56,0.29,0.22,1.15,0.93,"총자산순이익률, FISIS 공시비율(연환산)"
메리츠캐피탈,0013202,"ROE(공시,%)",11.07,8.57,1.62,1.17,6.66,5.49,"자기자본순이익률, FISIS 공시비율(연환산)"
